2021/02/22 11:34:47 ======================================================
2021/02/22 11:34:51 batch 1Succ/Prec:44.3/77.5
2021/02/22 11:34:55 batch 2Succ/Prec:41.3/85.6
2021/02/22 11:34:59 batch 3Succ/Prec:33.6/54.7
2021/02/22 11:35:00 batch 4Succ/Prec:50.9/85.6
2021/02/22 11:35:03 batch 5Succ/Prec:9.7/14.0
2021/02/22 11:35:04 batch 6Succ/Prec:55.4/91.0
2021/02/22 11:35:05 batch 7Succ/Prec:46.2/85.1
2021/02/22 11:35:06 batch 8Succ/Prec:51.9/85.3
2021/02/22 11:35:07 batch 9Succ/Prec:57.4/89.1
2021/02/22 11:35:09 batch 10Succ/Prec:7.6/9.2
2021/02/22 11:35:10 batch 11Succ/Prec:52.6/78.4
2021/02/22 11:35:11 batch 12Succ/Prec:43.8/81.7
2021/02/22 11:35:13 batch 13Succ/Prec:58.3/88.3
2021/02/22 11:35:14 batch 14Succ/Prec:58.9/88.5
2021/02/22 11:35:16 batch 15Succ/Prec:13.0/22.7
2021/02/22 11:35:22 batch 16Succ/Prec:46.6/82.7
2021/02/22 11:35:28 batch 17Succ/Prec:4.6/35.7
2021/02/22 11:35:30 batch 18Succ/Prec:18.4/39.3
2021/02/22 11:35:31 batch 19Succ/Prec:9.4/13.6
2021/02/22 11:35:33 batch 20Succ/Prec:64.2/91.2
2021/02/22 11:35:37 batch 21Succ/Prec:50.4/84.3
2021/02/22 11:35:38 batch 22Succ/Prec:11.4/59.8
2021/02/22 11:35:43 batch 23Succ/Prec:19.4/32.8
2021/02/22 11:35:44 batch 24Succ/Prec:57.8/90.6
2021/02/22 11:35:49 batch 25Succ/Prec:11.3/15.5
2021/02/22 11:35:51 batch 26Succ/Prec:4.5/17.3
2021/02/22 11:35:52 batch 27Succ/Prec:18.7/49.3
2021/02/22 11:35:54 batch 28Succ/Prec:9.6/14.1
2021/02/22 11:35:55 batch 29Succ/Prec:31.1/50.4
2021/02/22 11:35:59 batch 30Succ/Prec:54.4/89.6
2021/02/22 11:36:02 batch 31Succ/Prec:53.5/90.1
2021/02/22 11:36:05 batch 32Succ/Prec:3.5/19.2
2021/02/22 11:36:08 batch 33Succ/Prec:28.0/77.1
2021/02/22 11:36:10 batch 34Succ/Prec:54.3/89.3
2021/02/22 11:36:12 batch 35Succ/Prec:16.0/26.3
2021/02/22 11:36:23 batch 36Succ/Prec:9.7/52.8
2021/02/22 11:36:34 batch 37Succ/Prec:50.6/85.7
2021/02/22 11:36:39 batch 38Succ/Prec:35.0/63.1
2021/02/22 11:36:42 batch 39Succ/Prec:3.6/6.0
2021/02/22 11:36:47 batch 40Succ/Prec:35.3/62.3
2021/02/22 11:36:54 batch 41Succ/Prec:47.7/88.2
2021/02/22 11:37:00 batch 42Succ/Prec:51.6/84.7
2021/02/22 11:37:03 batch 43Succ/Prec:41.5/82.5
2021/02/22 11:37:07 batch 44Succ/Prec:21.1/29.0
2021/02/22 11:37:10 batch 45Succ/Prec:56.7/89.9
2021/02/22 11:37:13 batch 46Succ/Prec:37.5/81.9
2021/02/22 11:37:17 batch 47Succ/Prec:45.0/74.5
2021/02/22 11:37:20 batch 48Succ/Prec:49.8/88.4
2021/02/22 11:37:24 batch 49Succ/Prec:52.5/87.0
2021/02/22 11:37:26 batch 50Succ/Prec:7.5/17.1
2021/02/22 11:37:28 batch 51Succ/Prec:49.7/80.5
2021/02/22 11:37:29 batch 52Succ/Prec:45.1/82.6
2021/02/22 11:37:31 batch 53Succ/Prec:58.0/88.2
2021/02/22 11:37:32 batch 54Succ/Prec:43.3/81.1
2021/02/22 11:37:33 batch 55Succ/Prec:69.0/92.9
2021/02/22 11:37:34 batch 56Succ/Prec:6.6/24.8
2021/02/22 11:37:35 batch 57Succ/Prec:12.3/15.6
2021/02/22 11:37:37 batch 58Succ/Prec:49.0/78.3
2021/02/22 11:37:40 batch 59Succ/Prec:52.9/85.3
2021/02/22 11:37:42 batch 60Succ/Prec:4.8/4.9
2021/02/22 11:37:44 batch 61Succ/Prec:49.9/83.9
2021/02/22 11:37:46 batch 62Succ/Prec:46.8/86.7
2021/02/22 11:37:46 mean Succ/Prec 34.62836727989488/63.32662614980289
