2021/02/03 09:10:13 ======================================================
2021/02/03 09:10:18 batch 1Succ/Prec:48.3/83.5
2021/02/03 09:10:21 batch 2Succ/Prec:42.9/84.8
2021/02/03 09:10:24 batch 3Succ/Prec:53.9/83.8
2021/02/03 09:10:25 batch 4Succ/Prec:55.6/86.7
2021/02/03 09:10:27 batch 5Succ/Prec:45.0/77.8
2021/02/03 09:10:28 batch 6Succ/Prec:20.4/36.2
2021/02/03 09:10:29 batch 7Succ/Prec:48.4/85.4
2021/02/03 09:10:30 batch 8Succ/Prec:10.0/13.1
2021/02/03 09:10:31 batch 9Succ/Prec:58.8/89.3
2021/02/03 09:10:32 batch 10Succ/Prec:13.8/20.1
2021/02/03 09:10:34 batch 11Succ/Prec:50.0/74.1
2021/02/03 09:10:34 batch 12Succ/Prec:33.4/55.6
2021/02/03 09:10:36 batch 13Succ/Prec:21.5/30.3
2021/02/03 09:10:37 batch 14Succ/Prec:21.0/36.8
2021/02/03 09:10:39 batch 15Succ/Prec:37.6/74.0
2021/02/03 09:10:44 batch 16Succ/Prec:50.4/83.5
2021/02/03 09:10:49 batch 17Succ/Prec:5.2/5.7
2021/02/03 09:10:51 batch 18Succ/Prec:25.7/76.5
2021/02/03 09:10:52 batch 19Succ/Prec:55.6/89.0
2021/02/03 09:10:54 batch 20Succ/Prec:48.7/73.0
2021/02/03 09:10:57 batch 21Succ/Prec:47.6/83.3
2021/02/03 09:10:58 batch 22Succ/Prec:13.2/63.7
2021/02/03 09:11:02 batch 23Succ/Prec:39.6/77.7
2021/02/03 09:11:04 batch 24Succ/Prec:64.0/91.5
2021/02/03 09:11:07 batch 25Succ/Prec:32.3/60.6
2021/02/03 09:11:09 batch 26Succ/Prec:4.2/17.7
2021/02/03 09:11:10 batch 27Succ/Prec:9.9/19.0
2021/02/03 09:11:11 batch 28Succ/Prec:20.5/35.1
2021/02/03 09:11:12 batch 29Succ/Prec:4.9/7.9
2021/02/03 09:11:15 batch 30Succ/Prec:19.2/32.8
2021/02/03 09:11:18 batch 31Succ/Prec:51.3/85.4
2021/02/03 09:11:21 batch 32Succ/Prec:4.0/23.7
2021/02/03 09:11:23 batch 33Succ/Prec:15.7/69.9
2021/02/03 09:11:25 batch 34Succ/Prec:60.7/91.6
2021/02/03 09:11:27 batch 35Succ/Prec:26.8/44.9
2021/02/03 09:11:36 batch 36Succ/Prec:40.5/76.5
2021/02/03 09:11:45 batch 37Succ/Prec:20.3/66.0
2021/02/03 09:11:50 batch 38Succ/Prec:53.1/78.8
2021/02/03 09:11:52 batch 39Succ/Prec:8.3/9.5
2021/02/03 09:11:56 batch 40Succ/Prec:51.2/84.0
2021/02/03 09:12:02 batch 41Succ/Prec:26.0/46.4
2021/02/03 09:12:07 batch 42Succ/Prec:52.4/83.9
2021/02/03 09:12:09 batch 43Succ/Prec:39.5/77.6
2021/02/03 09:12:13 batch 44Succ/Prec:40.8/65.8
2021/02/03 09:12:15 batch 45Succ/Prec:32.2/77.1
2021/02/03 09:12:17 batch 46Succ/Prec:45.3/85.3
2021/02/03 09:12:21 batch 47Succ/Prec:44.8/74.5
2021/02/03 09:12:24 batch 48Succ/Prec:58.1/91.3
2021/02/03 09:12:27 batch 49Succ/Prec:54.2/87.8
2021/02/03 09:12:29 batch 50Succ/Prec:39.3/71.6
2021/02/03 09:12:31 batch 51Succ/Prec:50.0/80.4
2021/02/03 09:12:32 batch 52Succ/Prec:6.3/7.1
2021/02/03 09:12:33 batch 53Succ/Prec:66.2/91.9
2021/02/03 09:12:34 batch 54Succ/Prec:41.5/80.1
2021/02/03 09:12:35 batch 55Succ/Prec:48.5/83.4
2021/02/03 09:12:36 batch 56Succ/Prec:6.4/12.9
2021/02/03 09:12:37 batch 57Succ/Prec:11.1/22.0
2021/02/03 09:12:39 batch 58Succ/Prec:47.2/78.2
2021/02/03 09:12:41 batch 59Succ/Prec:56.4/89.1
2021/02/03 09:12:43 batch 60Succ/Prec:4.0/2.9
2021/02/03 09:12:45 batch 61Succ/Prec:50.7/84.3
2021/02/03 09:12:47 batch 62Succ/Prec:53.3/88.8
2021/02/03 09:12:47 mean Succ/Prec 36.872946780551906/66.10997043363996
