2021/01/19 19:03:48 ======================================================
2021/01/19 19:04:01 batch 1Succ/Prec:69.4/86.4
2021/01/19 19:04:02 batch 2Succ/Prec:86.7/93.8
2021/01/19 19:04:04 batch 3Succ/Prec:76.8/89.9
2021/01/19 19:04:07 batch 4Succ/Prec:80.4/92.5
2021/01/19 19:04:11 batch 5Succ/Prec:73.4/88.9
2021/01/19 19:04:17 batch 6Succ/Prec:60.3/72.3
2021/01/19 19:04:22 batch 7Succ/Prec:66.0/84.8
2021/01/19 19:04:27 batch 8Succ/Prec:68.5/86.8
2021/01/19 19:04:35 batch 9Succ/Prec:62.3/85.3
2021/01/19 19:04:48 batch 10Succ/Prec:72.3/86.0
2021/01/19 19:04:52 batch 11Succ/Prec:64.5/85.1
2021/01/19 19:04:54 batch 12Succ/Prec:48.4/55.7
2021/01/19 19:05:02 batch 13Succ/Prec:53.8/79.4
2021/01/19 19:05:04 batch 14Succ/Prec:76.7/89.1
2021/01/19 19:05:10 batch 15Succ/Prec:56.8/81.6
2021/01/19 19:05:14 batch 16Succ/Prec:72.7/89.4
2021/01/19 19:05:19 batch 17Succ/Prec:60.5/81.7
2021/01/19 19:05:23 batch 18Succ/Prec:48.4/75.4
2021/01/19 19:05:57 batch 19Succ/Prec:52.4/74.4
2021/01/19 19:06:00 batch 20Succ/Prec:64.5/84.6
2021/01/19 19:06:03 batch 21Succ/Prec:74.9/87.6
2021/01/19 19:06:06 batch 22Succ/Prec:27.4/31.7
2021/01/19 19:06:08 batch 23Succ/Prec:68.3/85.9
2021/01/19 19:06:09 batch 24Succ/Prec:71.6/85.0
2021/01/19 19:06:10 batch 25Succ/Prec:75.8/88.5
2021/01/19 19:06:12 batch 26Succ/Prec:75.2/87.6
2021/01/19 19:06:14 batch 27Succ/Prec:64.4/84.1
2021/01/19 19:06:14 batch 28Succ/Prec:75.4/90.7
2021/01/19 19:06:16 batch 29Succ/Prec:69.9/84.5
2021/01/19 19:06:17 batch 30Succ/Prec:77.3/88.9
2021/01/19 19:06:19 batch 31Succ/Prec:64.9/78.4
2021/01/19 19:06:20 batch 32Succ/Prec:80.8/87.9
2021/01/19 19:06:21 batch 33Succ/Prec:88.9/95.5
2021/01/19 19:06:22 batch 34Succ/Prec:76.8/90.6
2021/01/19 19:06:26 batch 35Succ/Prec:5.1/2.8
2021/01/19 19:06:28 batch 36Succ/Prec:82.7/90.9
2021/01/19 19:06:30 batch 37Succ/Prec:60.7/83.5
2021/01/19 19:06:33 batch 38Succ/Prec:66.3/84.0
2021/01/19 19:06:36 batch 39Succ/Prec:67.8/84.5
2021/01/19 19:06:40 batch 40Succ/Prec:60.4/82.3
2021/01/19 19:06:42 batch 41Succ/Prec:74.8/90.8
2021/01/19 19:06:43 batch 42Succ/Prec:81.4/92.1
2021/01/19 19:06:44 batch 43Succ/Prec:73.5/90.5
2021/01/19 19:06:48 batch 44Succ/Prec:72.5/87.8
2021/01/19 19:06:53 batch 45Succ/Prec:65.1/86.0
2021/01/19 19:06:54 batch 46Succ/Prec:72.3/83.3
2021/01/19 19:06:56 batch 47Succ/Prec:72.6/86.9
2021/01/19 19:06:58 batch 48Succ/Prec:73.2/88.5
2021/01/19 19:06:59 batch 49Succ/Prec:69.7/86.7
2021/01/19 19:07:01 batch 50Succ/Prec:76.9/90.6
2021/01/19 19:07:02 batch 51Succ/Prec:86.9/94.8
2021/01/19 19:07:05 batch 52Succ/Prec:63.3/83.4
2021/01/19 19:07:06 batch 53Succ/Prec:78.1/90.2
2021/01/19 19:07:07 batch 54Succ/Prec:86.4/95.7
2021/01/19 19:07:08 batch 55Succ/Prec:70.2/86.0
2021/01/19 19:07:10 batch 56Succ/Prec:69.0/87.8
2021/01/19 19:07:12 batch 57Succ/Prec:64.6/84.8
2021/01/19 19:07:14 batch 58Succ/Prec:68.7/84.4
2021/01/19 19:07:15 batch 59Succ/Prec:73.5/83.7
2021/01/19 19:07:17 batch 60Succ/Prec:19.2/10.0
2021/01/19 19:07:19 batch 61Succ/Prec:72.4/84.4
2021/01/19 19:07:21 batch 62Succ/Prec:63.8/84.3
2021/01/19 19:07:23 batch 63Succ/Prec:79.0/91.0
2021/01/19 19:07:25 batch 64Succ/Prec:78.4/91.8
2021/01/19 19:07:26 batch 65Succ/Prec:77.0/90.3
2021/01/19 19:07:29 batch 66Succ/Prec:63.1/83.8
2021/01/19 19:07:30 batch 67Succ/Prec:66.6/83.4
2021/01/19 19:07:32 batch 68Succ/Prec:77.8/87.2
2021/01/19 19:07:34 batch 69Succ/Prec:76.2/90.9
2021/01/19 19:07:34 batch 70Succ/Prec:61.3/50.0
2021/01/19 19:07:36 batch 71Succ/Prec:84.0/93.4
2021/01/19 19:07:38 batch 72Succ/Prec:77.7/92.4
2021/01/19 19:07:39 batch 73Succ/Prec:83.8/86.2
2021/01/19 19:07:40 batch 74Succ/Prec:70.9/88.8
2021/01/19 19:07:41 batch 75Succ/Prec:72.3/87.3
2021/01/19 19:07:42 batch 76Succ/Prec:19.2/17.5
2021/01/19 19:07:44 batch 77Succ/Prec:75.6/89.5
2021/01/19 19:07:47 batch 78Succ/Prec:62.0/81.5
2021/01/19 19:07:48 batch 79Succ/Prec:75.8/89.4
2021/01/19 19:07:49 batch 80Succ/Prec:75.9/87.7
2021/01/19 19:07:52 batch 81Succ/Prec:57.1/81.3
2021/01/19 19:07:55 batch 82Succ/Prec:22.5/25.4
2021/01/19 19:07:57 batch 83Succ/Prec:65.0/82.7
2021/01/19 19:08:00 batch 84Succ/Prec:63.4/83.2
2021/01/19 19:08:02 batch 85Succ/Prec:38.5/41.5
2021/01/19 19:08:03 batch 86Succ/Prec:68.0/82.0
2021/01/19 19:08:05 batch 87Succ/Prec:73.9/90.2
2021/01/19 19:08:07 batch 88Succ/Prec:23.8/24.3
2021/01/19 19:08:10 batch 89Succ/Prec:62.8/83.6
2021/01/19 19:08:12 batch 90Succ/Prec:38.0/39.8
2021/01/19 19:08:16 batch 91Succ/Prec:63.9/84.7
2021/01/19 19:08:19 batch 92Succ/Prec:57.9/81.3
2021/01/19 19:08:20 batch 93Succ/Prec:63.9/80.5
2021/01/19 19:08:23 batch 94Succ/Prec:71.6/80.0
2021/01/19 19:08:25 batch 95Succ/Prec:74.6/84.0
2021/01/19 19:08:27 batch 96Succ/Prec:59.9/82.4
2021/01/19 19:08:29 batch 97Succ/Prec:78.8/92.4
2021/01/19 19:08:47 batch 98Succ/Prec:9.1/9.4
2021/01/19 19:08:49 batch 99Succ/Prec:69.8/88.9
2021/01/19 19:09:03 batch 100Succ/Prec:16.3/19.8
2021/01/19 19:09:05 batch 101Succ/Prec:71.0/88.2
2021/01/19 19:09:07 batch 102Succ/Prec:60.6/81.8
2021/01/19 19:09:09 batch 103Succ/Prec:58.9/83.1
2021/01/19 19:09:11 batch 104Succ/Prec:82.5/95.0
2021/01/19 19:09:12 batch 105Succ/Prec:100.0/100.0
2021/01/19 19:09:13 batch 106Succ/Prec:78.8/90.3
2021/01/19 19:09:14 batch 107Succ/Prec:87.5/91.2
2021/01/19 19:09:15 batch 108Succ/Prec:70.0/87.8
2021/01/19 19:09:17 batch 109Succ/Prec:38.3/62.6
2021/01/19 19:09:18 batch 110Succ/Prec:73.1/85.6
2021/01/19 19:09:19 batch 111Succ/Prec:65.6/81.9
2021/01/19 19:09:20 batch 112Succ/Prec:52.3/78.5
2021/01/19 19:09:23 batch 113Succ/Prec:11.8/10.7
2021/01/19 19:09:24 batch 114Succ/Prec:89.1/95.3
2021/01/19 19:09:28 batch 115Succ/Prec:15.0/18.7
2021/01/19 19:09:41 batch 116Succ/Prec:49.3/73.2
2021/01/19 19:09:59 batch 117Succ/Prec:60.6/74.7
2021/01/19 19:10:11 batch 118Succ/Prec:48.8/66.2
2021/01/19 19:10:14 batch 119Succ/Prec:53.3/72.2
2021/01/19 19:10:19 batch 120Succ/Prec:50.9/77.3
2021/01/19 19:10:20 mean Succ/Prec 56.631771481942714/72.60235056039849
