2021/01/01 15:55:08 ======================================================
2021/01/01 15:59:11 batch 97Succ/Prec:80.0/92.9
2021/01/01 15:59:23 batch 98Succ/Prec:11.6/13.5
2021/01/01 15:59:25 batch 99Succ/Prec:71.1/89.3
2021/01/01 15:59:38 batch 100Succ/Prec:16.9/19.9
2021/01/01 15:59:39 batch 101Succ/Prec:69.0/88.8
2021/01/01 15:59:41 batch 102Succ/Prec:65.0/82.6
2021/01/01 15:59:43 batch 103Succ/Prec:62.8/84.7
2021/01/01 15:59:44 batch 104Succ/Prec:85.8/95.0
2021/01/01 15:59:45 batch 105Succ/Prec:100.0/100.0
2021/01/01 15:59:46 batch 106Succ/Prec:80.0/91.6
2021/01/01 15:59:46 batch 107Succ/Prec:95.0/98.8
2021/01/01 15:59:47 batch 108Succ/Prec:68.1/85.9
2021/01/01 15:59:49 batch 109Succ/Prec:41.4/63.9
2021/01/01 15:59:50 batch 110Succ/Prec:75.6/90.6
2021/01/01 15:59:51 batch 111Succ/Prec:64.4/76.9
2021/01/01 15:59:52 batch 112Succ/Prec:55.8/79.6
2021/01/01 15:59:54 batch 113Succ/Prec:11.8/11.2
2021/01/01 15:59:55 batch 114Succ/Prec:85.9/94.1
2021/01/01 15:59:58 batch 115Succ/Prec:15.3/19.2
2021/01/01 16:00:11 batch 116Succ/Prec:54.2/77.3
2021/01/01 16:00:26 batch 117Succ/Prec:67.2/80.5
2021/01/01 16:00:34 batch 118Succ/Prec:3.0/0.6
2021/01/01 16:00:37 batch 119Succ/Prec:55.7/74.2
2021/01/01 16:00:42 batch 120Succ/Prec:54.8/81.2
2021/01/01 16:00:42 mean Succ/Prec 57.13846513075966/72.65605541718556
