2021/02/28 21:01:16 batch 97Succ/Prec:74.1/84.2
2021/02/28 21:01:18 batch 98Succ/Prec:87.6/94.0
2021/02/28 21:01:19 batch 99Succ/Prec:84.7/91.2
2021/02/28 21:01:20 batch 100Succ/Prec:83.3/88.9
2021/02/28 21:01:21 batch 101Succ/Prec:76.7/81.4
2021/02/28 21:01:22 batch 102Succ/Prec:84.1/90.4
2021/02/28 21:01:23 batch 103Succ/Prec:74.9/90.1
2021/02/28 21:01:24 batch 104Succ/Prec:90.3/95.0
2021/02/28 21:01:32 batch 105Succ/Prec:70.0/82.6
2021/02/28 21:01:33 batch 106Succ/Prec:88.7/95.4
2021/02/28 21:01:39 batch 107Succ/Prec:79.7/90.2
2021/02/28 21:01:40 batch 108Succ/Prec:87.0/95.8
2021/02/28 21:01:41 batch 109Succ/Prec:83.8/91.4
2021/02/28 21:01:42 batch 110Succ/Prec:83.1/93.1
2021/02/28 21:01:43 batch 111Succ/Prec:85.8/96.7
2021/02/28 21:01:43 batch 112Succ/Prec:100.0/100.0
2021/02/28 21:01:44 batch 113Succ/Prec:84.4/89.7
2021/02/28 21:01:44 batch 114Succ/Prec:95.0/98.8
2021/02/28 21:01:45 batch 115Succ/Prec:81.3/90.9
2021/02/28 21:01:46 batch 116Succ/Prec:73.3/85.8
2021/02/28 21:01:46 batch 117Succ/Prec:66.9/70.6
2021/02/28 21:01:47 batch 118Succ/Prec:78.1/90.6
2021/02/28 21:01:48 batch 119Succ/Prec:80.8/91.2
2021/02/28 21:01:49 batch 120Succ/Prec:68.8/84.8
2021/02/28 21:01:49 mean Succ/Prec 82.43189601494396/90.15683374844335
