2021/02/28 21:10:22 ======================================================
2021/02/28 21:13:03 batch 97Succ/Prec:76.2/84.5
2021/02/28 21:13:05 batch 98Succ/Prec:85.0/92.8
2021/02/28 21:13:07 batch 99Succ/Prec:90.0/94.3
2021/02/28 21:13:07 batch 100Succ/Prec:83.3/90.5
2021/02/28 21:13:08 batch 101Succ/Prec:83.3/86.9
2021/02/28 21:13:09 batch 102Succ/Prec:88.8/93.5
2021/02/28 21:13:10 batch 103Succ/Prec:65.4/82.6
2021/02/28 21:13:11 batch 104Succ/Prec:90.2/94.3
2021/02/28 21:13:18 batch 105Succ/Prec:73.6/82.2
2021/02/28 21:13:19 batch 106Succ/Prec:92.4/95.4
2021/02/28 21:13:26 batch 107Succ/Prec:83.3/90.5
2021/02/28 21:13:26 batch 108Succ/Prec:88.0/94.2
2021/02/28 21:13:27 batch 109Succ/Prec:81.6/88.0
2021/02/28 21:13:29 batch 110Succ/Prec:89.1/94.4
2021/02/28 21:13:29 batch 111Succ/Prec:92.5/96.7
2021/02/28 21:13:30 batch 112Succ/Prec:100.0/100.0
2021/02/28 21:13:30 batch 113Succ/Prec:91.9/94.7
2021/02/28 21:13:31 batch 114Succ/Prec:97.5/98.8
2021/02/28 21:13:31 batch 115Succ/Prec:91.3/95.9
2021/02/28 21:13:32 batch 116Succ/Prec:79.6/87.4
2021/02/28 21:13:33 batch 117Succ/Prec:91.9/96.9
2021/02/28 21:13:33 batch 118Succ/Prec:89.4/94.4
2021/02/28 21:13:34 batch 119Succ/Prec:86.5/91.5
2021/02/28 21:13:35 batch 120Succ/Prec:65.9/78.3
2021/02/28 21:13:36 mean Succ/Prec 84.32557596513077/90.44131382316314
