2021/01/25 14:45:24 ======================================================
2021/01/25 14:45:27 batch 1Succ/Prec:85.3/92.8
2021/01/25 14:45:29 batch 2Succ/Prec:14.2/17.8
2021/01/25 14:45:36 batch 3Succ/Prec:49.8/75.8
2021/01/25 14:45:45 batch 4Succ/Prec:63.9/77.7
2021/01/25 14:45:49 batch 5Succ/Prec:3.0/0.7
2021/01/25 14:45:51 batch 6Succ/Prec:53.9/74.5
2021/01/25 14:45:53 batch 7Succ/Prec:52.1/78.8
2021/01/25 14:45:59 batch 8Succ/Prec:71.3/89.4
2021/01/25 14:45:59 batch 9Succ/Prec:83.9/92.6
2021/01/25 14:46:01 batch 10Succ/Prec:75.4/91.0
2021/01/25 14:46:03 batch 11Succ/Prec:76.7/92.3
2021/01/25 14:46:05 batch 12Succ/Prec:71.5/88.8
2021/01/25 14:46:09 batch 13Succ/Prec:60.9/74.1
2021/01/25 14:46:12 batch 14Succ/Prec:63.5/83.3
2021/01/25 14:46:15 batch 15Succ/Prec:67.7/86.8
2021/01/25 14:46:20 batch 16Succ/Prec:62.2/85.0
2021/01/25 14:46:26 batch 17Succ/Prec:72.7/86.0
2021/01/25 14:46:29 batch 18Succ/Prec:64.6/84.3
2021/01/25 14:46:30 batch 19Succ/Prec:66.0/77.4
2021/01/25 14:46:34 batch 20Succ/Prec:49.6/77.7
2021/01/25 14:46:36 batch 21Succ/Prec:81.8/90.6
2021/01/25 14:46:41 batch 22Succ/Prec:56.8/82.3
2021/01/25 14:46:44 batch 23Succ/Prec:70.2/89.2
2021/01/25 14:46:46 batch 24Succ/Prec:62.5/83.1
2021/01/25 14:46:49 batch 25Succ/Prec:45.7/73.8
2021/01/25 14:47:06 batch 26Succ/Prec:54.0/75.4
2021/01/25 14:47:08 batch 27Succ/Prec:66.7/86.3
2021/01/25 14:47:09 batch 28Succ/Prec:74.0/86.5
2021/01/25 14:47:10 batch 29Succ/Prec:39.8/45.6
2021/01/25 14:47:12 batch 30Succ/Prec:62.9/82.0
2021/01/25 14:47:13 batch 31Succ/Prec:72.2/86.5
2021/01/25 14:47:13 batch 32Succ/Prec:78.9/91.5
2021/01/25 14:47:14 batch 33Succ/Prec:77.8/89.6
2021/01/25 14:47:15 batch 34Succ/Prec:68.3/84.2
2021/01/25 14:47:16 batch 35Succ/Prec:78.9/88.6
2021/01/25 14:47:17 batch 36Succ/Prec:72.5/87.9
2021/01/25 14:47:17 batch 37Succ/Prec:81.4/88.9
2021/01/25 14:47:19 batch 38Succ/Prec:63.9/79.9
2021/01/25 14:47:20 batch 39Succ/Prec:81.7/89.6
2021/01/25 14:47:20 batch 40Succ/Prec:87.7/94.2
2021/01/25 14:47:21 batch 41Succ/Prec:77.6/91.5
2021/01/25 14:47:23 batch 42Succ/Prec:4.5/2.3
2021/01/25 14:47:24 batch 43Succ/Prec:80.0/91.4
