2021/01/30 12:47:41 ======================================================
2021/01/30 12:50:42 batch 97Succ/Prec:23.3/26.6
2021/01/30 12:50:44 batch 98Succ/Prec:59.0/82.8
2021/01/30 12:50:46 batch 99Succ/Prec:57.6/82.2
2021/01/30 12:50:47 batch 100Succ/Prec:67.3/84.5
2021/01/30 12:50:48 batch 101Succ/Prec:79.3/88.8
2021/01/30 12:50:49 batch 102Succ/Prec:80.7/91.2
2021/01/30 12:50:50 batch 103Succ/Prec:65.6/85.6
2021/01/30 12:50:52 batch 104Succ/Prec:77.6/91.7
2021/01/30 12:50:59 batch 105Succ/Prec:11.4/13.5
2021/01/30 12:51:01 batch 106Succ/Prec:71.7/89.1
2021/01/30 12:51:08 batch 107Succ/Prec:17.1/20.1
2021/01/30 12:51:09 batch 108Succ/Prec:72.0/89.2
2021/01/30 12:51:10 batch 109Succ/Prec:59.4/81.0
2021/01/30 12:51:11 batch 110Succ/Prec:61.4/83.8
2021/01/30 12:51:12 batch 111Succ/Prec:85.8/95.0
2021/01/30 12:51:13 batch 112Succ/Prec:100.0/100.0
2021/01/30 12:51:13 batch 113Succ/Prec:80.6/91.6
2021/01/30 12:51:14 batch 114Succ/Prec:95.0/98.8
2021/01/30 12:51:15 batch 115Succ/Prec:70.0/89.1
2021/01/30 12:51:16 batch 116Succ/Prec:38.0/61.1
2021/01/30 12:51:17 batch 117Succ/Prec:85.6/94.4
2021/01/30 12:51:17 batch 118Succ/Prec:74.4/83.1
2021/01/30 12:51:18 batch 119Succ/Prec:46.5/74.6
2021/01/30 12:51:20 batch 120Succ/Prec:35.0/53.4
2021/01/30 12:51:20 mean Succ/Prec 57.02560709838107/73.42932752179328
